"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","319","get array of worker","workers","Sat Feb 14 05:15:32 UTC 2026","passed","Sat Feb 14 05:15:32 UTC 2026","","","",""
"","261","update workers in batch","workers","Sat Feb 14 05:15:33 UTC 2026","passed","Sat Feb 14 05:15:34 UTC 2026","","","",""
"","365","save a new worker","workers","Sat Feb 14 05:15:32 UTC 2026","passed","Sat Feb 14 05:15:33 UTC 2026","","","",""
"","116","get project","project","Sat Feb 14 05:15:32 UTC 2026","passed","Sat Feb 14 05:15:32 UTC 2026","","","",""
"","188","get schedule","schedule","Sat Feb 14 05:15:34 UTC 2026","passed","Sat Feb 14 05:15:34 UTC 2026","","","",""
"","475","get auth token","authorization","Sat Feb 14 05:15:31 UTC 2026","passed","Sat Feb 14 05:15:32 UTC 2026","","","",""
"","223","update a single worker","workers","Sat Feb 14 05:15:33 UTC 2026","passed","Sat Feb 14 05:15:33 UTC 2026","","","",""
"","109","rfid Access Control Events","Integration","Sat Feb 14 05:15:44 UTC 2026","passed","Sat Feb 14 05:15:44 UTC 2026","","","",""
"","151","get worker detail by id","workers","Sat Feb 14 05:15:32 UTC 2026","passed","Sat Feb 14 05:15:32 UTC 2026","","","",""
"","262","save workers in batch","workers","Sat Feb 14 05:15:33 UTC 2026","passed","Sat Feb 14 05:15:33 UTC 2026","","","",""
"","123","an array of daily activities","daily activitiy","Sat Feb 14 05:15:34 UTC 2026","passed","Sat Feb 14 05:15:34 UTC 2026","","","",""
"","302","An array of historical zone saftey status","zone safty","Sat Feb 14 05:15:34 UTC 2026","passed","Sat Feb 14 05:15:34 UTC 2026","","","",""
"","101","List Access Controle Integration Records for a project","Integration","Sat Feb 14 05:15:44 UTC 2026","passed","Sat Feb 14 05:15:44 UTC 2026","","","",""
"","101","worker_access_control_events","Integration","Sat Feb 14 05:15:44 UTC 2026","passed","Sat Feb 14 05:15:44 UTC 2026","","","",""
"","113","get companies","company","Sat Feb 14 05:15:32 UTC 2026","passed","Sat Feb 14 05:15:32 UTC 2026","","","",""
"","9079","get schedule of budget worker","schedule","Sat Feb 14 05:15:34 UTC 2026","passed","Sat Feb 14 05:15:44 UTC 2026","","","",""
"","158","create api key","authorization","Sat Feb 14 05:15:32 UTC 2026","passed","Sat Feb 14 05:15:32 UTC 2026","","","",""
"","99","an array of zone activity object","zone activity","Sat Feb 14 05:15:34 UTC 2026","passed","Sat Feb 14 05:15:34 UTC 2026","","","",""
"","149","An array of zone objects","zones","Sat Feb 14 05:15:34 UTC 2026","passed","Sat Feb 14 05:15:34 UTC 2026","","","",""
